timestep_time,vehicle_y,vehicle_x
900,555.85,1588.94
901,556.35,1586.45
902,557.2,1582.25
903,558.04,1578.08
904,558.87,1573.93
905,559.92,1568.75
906,560.92,1563.77
907,561.84,1559.24
908,562.77,1554.6
909,563.86,1549.39
910,565.04,1544.06
911,566.21,1538.79
912,567.21,1534.26
913,568.32,1529.24
914,569.37,1524.46
915,570.57,1519.04
916,571.58,1514.44
917,572.66,1509.59
918,573.81,1504.35
919,574.73,1500.19
920,575.65,1496.06
921,576.68,1491.36
922,577.63,1487.09
923,578.73,1482.24
924,579.86,1477.39
925,580.91,1472.83
926,582.15,1467.47
927,583.13,1463.27
928,584.12,1458.98
929,585.07,1454.86
930,586.15,1450.19
931,587.19,1445.72
932,588.09,1441.58
933,589.15,1436.53
934,590.16,1431.75
935,591.29,1426.36
936,592.41,1421.06
937,593.54,1415.65
938,594.51,1411.04
939,595.36,1405.74
940,595.74,1401.14
941,596.15,1396.27
942,596.55,1391.57
943,596.98,1386.46
944,597.37,1381.78
945,597.74,1377.39
946,598.17,1372.18
947,598.52,1367.32
948,598.89,1362.3
949,599.2,1358
950,599.57,1352.91
951,599.95,1347.76
952,600.27,1343.32
953,600.65,1338.22
954,600.99,1333.51
955,601.32,1328.52
956,601.64,1323.28
957,601.91,1318.8
958,602.16,1314.61
959,602.43,1310.03
960,602.75,1304.78
961,603.04,1299.77
962,603.3,1295.57
963,603.55,1291.39
964,603.71,1286.64
965,603.83,1282.29
966,603.96,1277.49
967,603.59,1273.33
968,603.35,1270.78
969,603.25,1269.7
970,603.23,1269.47
971,603.22,1269.46
972,603.22,1269.46
973,603.22,1269.46
974,603.22,1269.46
975,603.22,1269.46
976,603.07,1267.62
977,602.75,1263.49
978,602.41,1257.18
979,602.3,1248.08
980,602.81,1239.47
981,603.72,1228.86
982,604.61,1218.43
983,604.91,1211.25
984,604.79,1208.55
985,604.79,1208.46
986,604.79,1208.44
987,604.79,1208.44
988,604.79,1208.43
989,604.79,1208.43
990,604.75,1206.89
991,604.85,1202.69
992,605.3,1196.5
993,606.06,1188.73
994,607.38,1178.54
995,609.11,1166.11
996,610.94,1152.96
997,612.83,1139.34
998,615.27,1125.75
999,618.57,1112.66
1000,621.7,1100.24
1001,626.5,1087.56
1002,631.49,1076.02
1003,636.63,1064.03
1004,641.45,1052.38
1005,646.72,1039.64
1006,651.56,1027.96
1007,656.75,1015.4
1008,661.73,1003.38
1009,666.64,991.45
1010,671.66,979.26
1011,676.85,966.63
1012,681.75,954.72
1013,686.57,943
1014,691.4,931.27
1015,696.24,919.5
1016,701.42,906.9
1017,706.3,895.03
1018,711.29,882.91
1019,716.34,870.64
